ride_name,ride_id,bike,ride_distance,ride_moving_time,ride_elapsed_time,ride_elevation_gain,ride_start_time,segment_id
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,10021704
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,16044578
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,4032359
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1371754
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,11618268
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,2656329
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,5159058
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,14973531
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,3683562
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,9234364
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,7275139
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,9234379
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,9234485
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,12513883
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,12440005
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,18736021
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,648114
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,11826282
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,5524452
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,14243437
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1437496
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,2266343
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,15378135
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,3551821
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1489224
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,12431535
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1335595
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,8166335
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,7256814
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,7362112
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,7601938
