,segment_id,mean,median,std
5751,16971997.0,1000.0,1000.0,127.0
5752,16972217.0,235.0,235.0,0.0
5753,16977552.0,125.0,125.0,0.0
5754,16977676.0,471.6,462.0,20.34305778392226
5755,16989721.0,225.0,225.0,0.0
5756,17013694.0,274.0,274.0,0.0
5757,17013715.0,961.0,961.0,0.0
5758,17024907.0,61.4,61.5,2.576819745345025
5759,17035616.0,123.0,123.0,3.265986323710904
5760,17078673.0,1357.0,1357.0,0.0
5761,17091289.0,411.0,411.0,5.0
5762,10083677.0,162.0,162.0,0.0
5763,17107269.0,1260.9473684210527,1273.0,35.77189971002751
5764,17119178.0,2557.0,2557.0,0.0
5765,4025325.0,1708.0,1708.0,0.0
5766,12775771.0,2708.0,2708.0,0.0
5767,3755781.0,3523.0,3523.0,0.0
5768,17149690.0,606.0,606.0,0.0
5769,17149699.0,75.5,75.5,0.5
5770,17156809.0,532.0,532.0,0.0
5771,17170578.0,377.0,377.0,0.0
5772,5375270.0,3399.0,3399.0,0.0
5773,1247661.0,1114.0,1114.0,0.0
5774,16530775.0,64.5,64.5,1.5
5775,17180361.0,1180.857142857143,1172.0,70.5011217163621
5776,2459576.0,1137.0,1137.0,0.0
5777,17186234.0,1601.4915254237287,1634.0,107.34900675001822
5778,14563829.0,109.0,109.0,0.0
5779,17205231.0,684.0,684.0,0.0
5780,17217125.0,177.25,177.5,6.7592529172978875
5781,17221302.0,149.71428571428572,149.0,11.658403293201808
5782,17221437.0,262.0,262.0,0.0
5783,17222412.0,239.0,239.0,0.0
5784,1097864.0,244.42857142857142,241.0,12.948879078428183
5785,13604042.0,1293.375,1338.5,80.17627064786687
5786,13140016.0,470.0,470.0,0.0
5787,10157772.0,497.0,497.0,0.0
5788,17227751.0,150.0,150.0,0.0
5789,17244218.0,138.4,141.0,5.77581163127746
5790,17249149.0,168.0,168.0,0.0
5791,17255026.0,81.5,81.5,1.5
5792,17263969.0,78.0,78.0,0.0
5793,17276801.0,252.0,252.0,2.0
5794,5228599.0,83.0,83.0,1.0
5795,2693936.0,200.5,200.5,4.5
5796,629621.0,283.5,283.5,0.5
5797,676558.0,192.0,192.0,2.0
5798,2698965.0,35.0,35.0,6.0
5799,4654055.0,45.5,45.5,6.5
5800,1361488.0,243.5,243.5,13.5
5801,1766459.0,89.0,89.0,10.0
5802,2212831.0,412.0,412.0,18.0
5803,5917510.0,136.0,136.0,19.0
5804,3430061.0,117.5,117.5,0.5
5805,4963707.0,128.0,128.0,0.0
5806,622812.0,568.0,568.0,0.0
5807,622813.0,453.0,453.0,0.0
5808,17291392.0,265.0,265.0,0.0
5809,17317813.0,1941.5,1946.0,24.794152536434876
5810,7452660.0,8075.0,8075.0,0.0
5811,7452633.0,11606.0,11606.0,0.0
5812,1919843.0,339.6666666666667,338.0,7.845734863959881
5813,9360716.0,574.0,574.0,0.0
5814,17345282.0,1690.6341463414635,1696.0,93.48946884674697
5815,17346188.0,1654.5,1654.5,21.5
5816,17351959.0,1070.0,1070.0,0.0
5817,17355908.0,82.0,87.0,7.0710678118654755
5818,17360531.0,257.0,257.0,3.0
5819,17362347.0,294.5,294.5,0.5
5820,17376055.0,366.39130434782606,374.5,30.414869261789043
5821,1325603.0,403.0,403.0,0.0
5822,1779682.0,66.0,66.0,1.0
5823,14175920.0,140.0,140.0,1.0
5824,17393138.0,13698.0,13698.0,0.0
5825,17406241.0,603.5,603.5,6.5
5826,17408345.0,335.09090909090907,334.0,10.326088280348651
5827,8111089.0,227.0,227.0,0.0
5828,17410513.0,2324.8888888888887,2397.0,128.8922413357112
5829,17411297.0,317.0,318.0,4.546060565661952
5830,17411404.0,931.6666666666666,923.0,21.312489817527705
5831,17426574.0,393.22222222222223,404.0,18.06640699553719
5832,17426364.0,213.0,213.0,0.0
5833,17427654.0,1191.662162162162,1219.0,81.30577537197814
5834,17427672.0,2515.5454545454545,2582.5,183.89688990220168
5835,17427870.0,234.75,237.0,14.201672436723781
5836,17430242.0,591.5,604.0,43.66205446380186
5837,17443300.0,135.0,135.0,0.0
5838,4433056.0,424.0,424.0,0.0
5839,5766897.0,2422.0,2422.0,0.0
5840,2585606.0,2616.0,2616.0,0.0
5841,17462128.0,225.0,225.0,9.0
5842,17468795.0,71.0,71.0,0.0
